,C0,C1,C2,C3,C4,C5,C6,C7
C0: Loudness,0.0,1.8339872004220836,12.469144111331053,3.1662582175044047,2.930638045828743,2.429658141341455,5.962976542339037,2.436719470451783
C1: Danceability,1.8339872004220836,0.0,12.568868529251024,2.502375143091171,3.2259583350368457,2.2574754179466767,5.966112754430809,1.7665287686271856
C2: Acousticness / Instrumentalness,12.469144111331053,12.568868529251024,0.0,12.83036012697542,12.381458245010593,12.846970815682692,6.6129891508491845,12.72318585403887
C3: Danceability / Speechiness,3.1662582175044047,2.502375143091171,12.83036012697542,0.0,3.9943417209981726,3.087039968495688,6.485508149637132,2.7576587395340684
C4: Acousticness,2.930638045828743,3.2259583350368457,12.381458245010593,3.9943417209981726,0.0,4.117298535303155,6.141947290494405,3.573117827927231
C5: Danceability / Loudness,2.429658141341455,2.2574754179466767,12.846970815682692,3.087039968495688,4.117298535303155,0.0,6.404895618169098,1.9579287934637641
C6: Acousticness / Instrumentalness,5.962976542339037,5.966112754430809,6.6129891508491845,6.485508149637132,6.141947290494405,6.404895618169098,0.0,6.245684521633275
C7: Danceability / Loudness,2.436719470451783,1.7665287686271856,12.72318585403887,2.7576587395340684,3.573117827927231,1.9579287934637641,6.245684521633275,0.0
