Cluster,Acousticness,Danceability,Instrumentalness,Loudness,Speechiness,Valence
C0,0.1216,0.4831,0.0045,0.8005,0.0518,0.3374
C1,0.1361,0.7532,0.0034,0.7791,0.0829,0.3402
C2,0.3892,0.5,0.8247,0.7005,0.065,0.3136
C3,0.2005,0.7114,0.0011,0.7821,0.343,0.4938
C4,0.7295,0.5045,0.0085,0.6843,0.0482,0.3517
C5,0.2257,0.6873,0.0032,0.9449,0.0891,0.5171
C6,0.2949,0.6092,0.391,0.7496,0.0706,0.32
C7,0.1903,0.7392,0.0022,0.8107,0.0686,0.7424
