Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,cluster_id,cluster_label,style_description
Ella Baila Sola,"Eslabon Armado, Peso Pluma",-0.16998391987508227,0.7209146604156376,0.12816542801648018,-0.7908692961349949,1.0636657612230755,-0.1513962023033052,1.4397439350250654,7,C7,Danceability / Loudness / Valence
WHERE SHE GOES,Bad Bunny,-0.28631393670399,0.9816287075475221,0.5259224557579508,-0.5189144775018224,-0.36927684501140773,9.759611813207297,-1.2136538911711783,2,C2,Acousticness / Instrumentalness
La Bebe - Remix,"Yng Lvcas, Peso Pluma",0.8769862315850866,-1.0109715098175938,-0.04441367995777934,2.1229323320775677,-0.07425924961019056,-0.1513962023033052,0.22360326468512073,3,C3,Danceability / Speechiness / Valence
Cupid - Twin Ver.,FIFTY FIFTY,0.6661380760826913,-0.30952657348657187,-0.9568139838695019,-0.7908692961349949,0.8613679815193838,-0.1513962023033052,0.9621323263097417,7,C7,Danceability / Loudness / Valence
un x100to,"Grupo Frontera, Bad Bunny",-0.8897758990039489,0.5098604317850645,0.5063268199919492,-0.6548918868184086,-0.011041193452786837,-0.1513962023033052,0.23687025381610197,0,C0,Loudness
Flowers,Miley Cyrus,0.11357049614537955,0.2429389073405167,0.4207248321720476,-0.4606384449375711,-0.7064398111842273,-0.1513962023033052,0.6083459494835759,7,C7,Danceability / Loudness / Valence
Daylight,David Kushner,-1.3332840881641588,-1.3151378981381252,-1.3497580484403757,-0.781156624040953,2.5261101269976804,-0.1513962023033052,-0.8156442172417416,4,C4,Acousticness
Kill Bill,SZA,-0.34447894511844385,0.5781426822243675,-0.06813471272714967,-0.7325932635707436,-0.75279971903299,2.117578605699122,-0.3999452244709969,0,C0,Loudness
As It Was,Harry Styles,-1.246036575542478,0.5533127729737118,0.072472568471002,-0.5674778379720318,0.46941603334348114,-0.13563943280328836,0.6791032248488091,0,C0,Loudness
TQG,"KAROL G, Shakira",0.20808863481886708,-0.07364243560534303,0.6881880712237884,1.579022694811223,1.8644278058835222,-0.1513962023033052,0.43587509078081993,3,C3,Danceability / Speechiness / Valence
